Size Id Time Ancestor
4 0   0.0 0
1 1  50.0 0
1 2  50.0 0
1 4  50.0 0
1 5  50.0 0
1 6  50.0 0
1 8  50.0 0
1 7  50.0 0
1 9  50.0 0
990 0  50.0 0
25 3  50.0 0
2 10  50.0 0
1 10 100.0 0
1 11 100.0 0
1 12 100.0 0
1 13 100.0 0
1 17 100.0 0
1 18 100.0 0
1 16 100.0 15
1 14 100.0 0
1 15 100.0 0
1 20 100.0 0
1 19 100.0 0
1 21 100.0 0
1 3 100.0 0
1 24 100.0 0
1 26 100.0 0
1 23 100.0 0
939 0 100.0 0
5 22 100.0 0
1 25 100.0 0
1 25 150.0 0
1 27 150.0 0
1 28 150.0 0
1 22 150.0 0
1 29 150.0 0
1 30 150.0 0
1 32 150.0 0
1 33 150.0 0
953 0 150.0 0
9 31 150.0 0
2 34 150.0 0
1 34 200.0 0
1 37 200.0 31
1 39 200.0 0
1 35 200.0 0
1 41 200.0 0
1 36 200.0 0
1 40 200.0 0
1 42 200.0 0
1 43 200.0 0
1 44 200.0 0
1 46 200.0 0
1 47 200.0 0
1 49 200.0 0
1 50 200.0 0
1 48 200.0 0
1 51 200.0 0
965 0 200.0 0
16 31 200.0 0
30 38 200.0 0
1 45 200.0 0
1 45 250.0 0
1 52 250.0 0
1 54 250.0 0
1 55 250.0 0
1 56 250.0 0
1 31 250.0 0
1 53 250.0 0
1 58 250.0 0
1 59 250.0 0
1 57 250.0 38
1 63 250.0 0
1 62 250.0 0
1 61 250.0 0
1 64 250.0 0
1 65 250.0 0
1 66 250.0 0
1 69 250.0 0
913 0 250.0 0
23 38 250.0 0
44 60 250.0 0
8 67 250.0 0
2 68 250.0 38
1 68 300.0 38
1 38 300.0 0
1 70 300.0 0
1 71 300.0 0
1 72 300.0 0
1 67 300.0 0
1 73 300.0 0
1 74 300.0 0
1 75 300.0 0
1 76 300.0 0
1 60 300.0 0
998 0 300.0 0
2 77 300.0 0
1 78 300.0 0
1 77 350.0 0
1 78 350.0 0
1 80 350.0 0
1 79 350.0 0
1 81 350.0 0
1 82 350.0 0
1 85 350.0 0
1 84 350.0 0
1 83 350.0 0
1 87 350.0 0
1 88 350.0 0
1 86 350.0 0
1 89 350.0 0
1011 0 350.0 0
1 90 400.0 0
1 91 400.0 0
1 92 400.0 0
1 93 400.0 0
1 94 400.0 0
1 95 400.0 0
1 96 400.0 0
978 0 400.0 0
1 97 450.0 0
1 98 450.0 0
1 99 450.0 0
1 100 450.0 0
1 101 450.0 0
1 104 450.0 0
1 103 450.0 0
1 105 450.0 0
1 102 450.0 0
979 0 450.0 0
1 106 450.0 0
1 107 500.0 0
1 109 500.0 0
1 108 500.0 0
1 110 500.0 0
1 106 500.0 0
1 111 500.0 0
1 112 500.0 0
1 113 500.0 0
1004 0 500.0 0
2 114 500.0 0
1 115 500.0 0
1 115 550.0 0
1 117 550.0 0
1 118 550.0 0
1 114 550.0 0
1 116 550.0 0
1 119 550.0 0
1 121 550.0 0
1 122 550.0 0
1 123 550.0 0
1 120 550.0 0
937 0 550.0 0
8 124 550.0 0
1 125 600.0 0
1 127 600.0 0
1 126 600.0 0
1 128 600.0 0
1 129 600.0 0
1 130 600.0 0
1 132 600.0 131
1 131 600.0 0
925 0 600.0 0
22 124 600.0 0
3 133 600.0 0
4 134 600.0 0
1 133 650.0 0
1 134 650.0 0
1 135 650.0 0
1 137 650.0 0
1 138 650.0 0
1 124 650.0 0
1 139 650.0 0
1 140 650.0 0
1 142 650.0 0
1 141 650.0 0
1 143 650.0 136
980 0 650.0 0
52 136 650.0 0
3 144 650.0 0
1 145 650.0 0
1 145 700.0 0
1 144 700.0 0
1 146 700.0 0
1 147 700.0 0
1 148 700.0 0
1 149 700.0 0
1 150 700.0 0
1 151 700.0 136
1036 0 700.0 0
9 136 700.0 0
3 152 700.0 0
1 152 750.0 0
1 136 750.0 0
1 136 750.0 0
1 153 750.0 0
1 154 750.0 0
1 155 750.0 0
1 156 750.0 0
1 158 750.0 0
1 159 750.0 0
1 160 750.0 0
1 161 750.0 0
1 157 750.0 0
1 162 750.0 0
1 164 750.0 0
1 166 750.0 0
1 167 750.0 0
1 168 750.0 0
1 169 750.0 0
1028 0 750.0 0
15 163 750.0 0
8 165 750.0 0
3 170 750.0 0
1 171 800.0 0
1 165 800.0 0
1 172 800.0 0
1 170 800.0 0
1 163 800.0 0
1 173 800.0 0
1 175 800.0 0
1 176 800.0 0
1 177 800.0 0
1 179 800.0 0
1 174 800.0 0
1 181 800.0 0
1 184 800.0 0
981 0 800.0 0
28 178 800.0 0
7 180 800.0 0
5 182 800.0 0
2 183 800.0 0
1 185 850.0 0
1 183 850.0 0
1 186 850.0 0
1 187 850.0 178
1 188 850.0 0
1 189 850.0 0
1 190 850.0 0
1 191 850.0 0
1 192 850.0 0
1 178 850.0 0
1 193 850.0 0
1 195 850.0 0
1 194 850.0 0
1 196 850.0 0
1 197 850.0 0
1 182 850.0 0
1 199 850.0 0
1 198 850.0 0
1 201 850.0 0
1 202 850.0 0
968 0 850.0 0
17 180 850.0 0
2 200 850.0 0
1 203 850.0 0
1 203 900.0 0
1 204 900.0 0
1 180 900.0 0
1 200 900.0 0
1 206 900.0 0
1 207 900.0 0
945 0 900.0 0
5 205 900.0 0
1 208 900.0 0
1 209 900.0 0
1 209 950.0 0
1 208 950.0 0
1 210 950.0 0
1 211 950.0 0
1 213 950.0 0
1 212 950.0 0
1 214 950.0 0
1 215 950.0 0
1 217 950.0 0
963 0 950.0 0
12 205 950.0 0
4 216 950.0 0
1 216 999.0 0
1 205 999.0 0
1 218 999.0 0
1 221 999.0 0
1 219 999.0 0
1 222 999.0 0
1 223 999.0 0
1 224 999.0 0
1 226 999.0 0
1 225 999.0 0
1 227 999.0 0
1 228 999.0 0
1 231 999.0 0
1 230 999.0 0
931 0 999.0 0
24 220 999.0 0
5 229 999.0 0
2 232 999.0 0
