Size Id Time Ancestor
1 0   0.0 0
1 1  50.0 0
1 2  50.0 0
1 5  50.0 0
1 6  50.0 3
1 7  50.0 0
1 4  50.0 0
1 9  50.0 0
1 8  50.0 0
1 10  50.0 0
1 11  50.0 0
1 12  50.0 0
1 13  50.0 0
987 0  50.0 0
20 3  50.0 0
1 14 100.0 0
1 15 100.0 0
1 17 100.0 0
1 18 100.0 0
1 19 100.0 3
1 20 100.0 0
1 21 100.0 0
1 24 100.0 0
1 22 100.0 3
1 25 100.0 16
1 16 100.0 0
1 26 100.0 0
1 23 100.0 3
1 28 100.0 0
951 0 100.0 0
61 3 100.0 0
1 27 100.0 0
1 27 150.0 0
1 29 150.0 0
1 31 150.0 0
1 33 150.0 0
1 35 150.0 0
844 0 150.0 0
81 3 150.0 0
14 30 150.0 0
29 32 150.0 0
2 34 150.0 3
1 30 200.0 0
1 36 200.0 0
1 37 200.0 0
1 38 200.0 0
1 34 200.0 3
1 39 200.0 0
1 40 200.0 3
1 41 200.0 3
1 42 200.0 0
1 43 200.0 3
1 45 200.0 0
1 44 200.0 0
1 47 200.0 0
1 46 200.0 0
843 0 200.0 0
117 3 200.0 0
101 32 200.0 0
6 48 200.0 32
4 49 200.0 32
1 49 250.0 32
1 50 250.0 3
1 52 250.0 0
1 54 250.0 0
1 48 250.0 32
1 55 250.0 0
1 56 250.0 0
1 53 250.0 32
1 57 250.0 0
1 58 250.0 51
1 59 250.0 0
1 60 250.0 0
1 3 250.0 0
1 62 250.0 0
837 0 250.0 0
183 32 250.0 0
39 51 250.0 0
4 61 250.0 32
1 61 300.0 32
1 64 300.0 0
1 65 300.0 0
1 66 300.0 0
1 67 300.0 0
1 63 300.0 0
1 70 300.0 32
1 72 300.0 32
1 71 300.0 0
1 74 300.0 32
1 75 300.0 32
611 0 300.0 0
341 32 300.0 0
8 51 300.0 0
26 68 300.0 32
4 69 300.0 32
3 73 300.0 32
1 76 300.0 0
1 76 350.0 0
1 51 350.0 0
1 68 350.0 32
1 77 350.0 32
1 78 350.0 0
1 69 350.0 32
1 79 350.0 0
1 82 350.0 0
1 83 350.0 73
1 80 350.0 0
1 73 350.0 32
1 84 350.0 32
1 85 350.0 0
1 86 350.0 32
537 0 350.0 0
383 32 350.0 0
21 81 350.0 32
10 87 350.0 32
1 88 350.0 32
1 88 400.0 32
1 89 400.0 0
1 91 400.0 81
1 90 400.0 0
1 87 400.0 32
1 93 400.0 32
1 95 400.0 32
1 96 400.0 32
1 92 400.0 0
1 98 400.0 32
1 97 400.0 32
1 99 400.0 0
1 102 400.0 0
1 101 400.0 32
676 0 400.0 0
261 32 400.0 0
58 81 400.0 32
6 94 400.0 32
6 100 400.0 0
1 94 450.0 32
1 103 450.0 0
1 104 450.0 32
1 106 450.0 32
1 100 450.0 0
1 105 450.0 0
1 107 450.0 0
1 108 450.0 81
1 109 450.0 0
1 110 450.0 0
1 112 450.0 0
1 114 450.0 81
1 111 450.0 32
1 113 450.0 0
1 115 450.0 0
1 117 450.0 0
1 119 450.0 32
1 118 450.0 0
1 120 450.0 0
1 121 450.0 32
527 0 450.0 0
261 32 450.0 0
218 81 450.0 32
10 116 450.0 0
1 122 500.0 32
1 123 500.0 81
1 124 500.0 81
1 125 500.0 81
1 126 500.0 0
1 127 500.0 0
1 128 500.0 126
1 129 500.0 0
1 130 500.0 81
1 132 500.0 32
1 133 500.0 0
1 134 500.0 131
1 131 500.0 0
533 0 500.0 0
191 32 500.0 0
151 81 500.0 32
31 116 500.0 0
2 135 500.0 81
1 136 550.0 0
1 137 550.0 32
1 140 550.0 81
1 139 550.0 0
1 141 550.0 32
1 143 550.0 0
1 144 550.0 0
1 138 550.0 0
1 142 550.0 116
1 147 550.0 116
1 148 550.0 81
1 146 550.0 32
1 149 550.0 0
1 150 550.0 81
1 151 550.0 116
1 152 550.0 81
1 153 550.0 81
435 0 550.0 0
123 32 550.0 0
203 81 550.0 32
77 116 550.0 0
120 135 550.0 81
2 145 550.0 81
4 154 550.0 0
1 145 600.0 81
1 156 600.0 0
1 154 600.0 0
1 155 600.0 0
1 157 600.0 81
1 158 600.0 135
1 159 600.0 81
1 161 600.0 32
1 164 600.0 135
1 162 600.0 135
1 165 600.0 135
1 165 600.0 135
1 166 600.0 160
1 163 600.0 0
1 167 600.0 135
1 168 600.0 135
1 169 600.0 0
1 170 600.0 0
444 0 600.0 0
216 32 600.0 0
111 81 600.0 32
50 116 600.0 0
210 135 600.0 81
13 160 600.0 135
1 171 600.0 135
1 171 650.0 135
1 174 650.0 135
1 175 650.0 32
1 172 650.0 135
1 177 650.0 116
1 173 650.0 32
1 176 650.0 0
1 179 650.0 135
1 181 650.0 32
1 180 650.0 81
1 183 650.0 32
1 182 650.0 0
1 160 650.0 135
1 184 650.0 81
1 185 650.0 178
1 176 650.0 0
1 187 650.0 32
1 186 650.0 135
1 188 650.0 0
1 116 650.0 0
377 0 650.0 0
520 32 650.0 0
66 81 650.0 32
75 135 650.0 81
15 178 650.0 0
3 189 650.0 32
1 190 650.0 135
1 191 650.0 0
1 190 700.0 135
1 191 700.0 0
1 192 700.0 0
1 193 700.0 32
1 195 700.0 32
1 194 700.0 0
1 197 700.0 32
1 198 700.0 0
1 178 700.0 0
1 198 700.0 0
1 200 700.0 0
1 199 700.0 81
1 201 700.0 32
1 202 700.0 0
287 0 700.0 0
408 32 700.0 0
103 81 700.0 32
36 135 700.0 81
5 189 700.0 32
112 196 700.0 81
8 203 700.0 32
1 204 750.0 32
1 205 750.0 135
1 206 750.0 0
1 207 750.0 203
1 189 750.0 32
1 210 750.0 0
1 209 750.0 0
1 208 750.0 189
1 212 750.0 196
1 213 750.0 196
1 214 750.0 32
1 217 750.0 196
1 215 750.0 32
1 218 750.0 0
1 211 750.0 196
1 219 750.0 0
1 221 750.0 196
1 222 750.0 135
1 216 750.0 81
285 0 750.0 0
279 32 750.0 0
53 81 750.0 32
100 135 750.0 81
102 196 750.0 81
161 203 750.0 32
12 220 750.0 0
1 223 800.0 203
1 224 800.0 196
1 225 800.0 203
1 228 800.0 0
1 220 800.0 0
1 229 800.0 32
1 227 800.0 32
1 230 800.0 32
1 230 800.0 32
1 231 800.0 203
1 226 800.0 0
1 232 800.0 203
1 233 800.0 203
1 235 800.0 203
1 236 800.0 203
1 237 800.0 196
1 241 800.0 203
1 81 800.0 32
1 242 800.0 196
1 239 800.0 203
1 244 800.0 196
237 0 800.0 0
182 32 800.0 0
3 81 800.0 32
108 135 800.0 81
286 196 800.0 81
119 203 800.0 32
6 234 800.0 0
10 238 800.0 32
2 240 800.0 196
4 243 800.0 196
2 245 800.0 203
1 81 850.0 32
1 240 850.0 196
1 246 850.0 0
1 245 850.0 203
1 247 850.0 203
1 249 850.0 32
1 234 850.0 0
1 238 850.0 32
1 248 850.0 0
1 251 850.0 203
1 250 850.0 32
1 252 850.0 196
1 254 850.0 196
1 258 850.0 203
1 260 850.0 196
1 261 850.0 243
1 262 850.0 32
1 263 850.0 0
1 255 850.0 135
1 259 850.0 0
1 264 850.0 32
1 265 850.0 32
1 266 850.0 0
1 257 850.0 196
1 267 850.0 32
224 0 850.0 0
341 32 850.0 0
61 135 850.0 81
336 196 850.0 81
5 203 850.0 32
1 243 850.0 196
3 253 850.0 196
28 256 850.0 196
1 243 900.0 196
1 203 900.0 32
1 268 900.0 196
1 253 900.0 196
1 269 900.0 135
1 270 900.0 32
1 271 900.0 196
1 273 900.0 196
1 272 900.0 196
1 275 900.0 196
1 274 900.0 196
1 276 900.0 0
1 278 900.0 32
1 276 900.0 0
1 279 900.0 32
225 0 900.0 0
250 32 900.0 0
80 135 900.0 81
414 196 900.0 81
14 256 900.0 196
1 276 900.0 0
5 277 900.0 0
1 280 950.0 196
1 281 950.0 32
1 277 950.0 0
1 276 950.0 0
1 283 950.0 0
1 282 950.0 196
1 284 950.0 196
1 285 950.0 0
1 286 950.0 196
1 287 950.0 32
1 288 950.0 32
1 289 950.0 196
1 290 950.0 0
1 291 950.0 135
1 292 950.0 135
1 256 950.0 196
1 294 950.0 196
1 293 950.0 32
1 296 950.0 32
1 295 950.0 196
222 0 950.0 0
315 32 950.0 0
87 135 950.0 81
324 196 950.0 81
1 297 999.0 196
1 298 999.0 196
1 299 999.0 196
1 302 999.0 196
1 304 999.0 135
1 306 999.0 135
1 307 999.0 0
1 308 999.0 196
1 305 999.0 196
1 309 999.0 135
1 310 999.0 135
1 301 999.0 196
1 313 999.0 196
1 314 999.0 196
1 301 999.0 196
1 303 999.0 135
1 311 999.0 135
1 312 999.0 0
