Size Id Time Ancestor
2 0   0.0 0
1 2  50.0 0
1 5  50.0 0
1 1  50.0 0
1 9  50.0 0
1 8  50.0 0
1 10  50.0 0
1 7  50.0 0
1 11  50.0 0
1 6  50.0 0
1 13  50.0 0
1 19  50.0 0
1 14  50.0 0
1 15  50.0 0
1 18  50.0 0
1 4  50.0 0
1 22  50.0 0
1 16  50.0 0
1 21  50.0 0
1 3  50.0 0
1 20  50.0 0
1 24  50.0 0
1 17  50.0 0
1 27  50.0 0
1 30  50.0 0
1 26  50.0 0
1 32  50.0 0
1 28  50.0 0
1 33  50.0 0
1 34  50.0 0
1 37  50.0 0
1 38  50.0 0
1 41  50.0 0
1 39  50.0 0
1 40  50.0 0
1 42  50.0 0
1 35  50.0 0
1 31  50.0 0
1 36  50.0 0
1 47  50.0 0
1 48  50.0 0
1 46  50.0 0
1 49  50.0 0
1 45  50.0 0
1 50  50.0 0
1 52  50.0 0
1 23  50.0 0
1 55  50.0 0
1 56  50.0 0
1 60  50.0 0
1 54  50.0 0
1 63  50.0 58
1 57  50.0 0
1 64  50.0 0
1 65  50.0 0
1 66  50.0 0
1 68  50.0 0
1 69  50.0 0
1 70  50.0 0
1 61  50.0 0
1 71  50.0 0
1 29  50.0 0
1 62  50.0 0
9720 0  50.0 0
19 12  50.0 0
20 24  50.0 0
4 25  50.0 0
2 43  50.0 0
10 44  50.0 0
5 51  50.0 0
7 53  50.0 0
1 58  50.0 0
1 59  50.0 0
3 67  50.0 0
1 72  50.0 0
1 73  50.0 0
1 58 100.0 0
1 73 100.0 0
1 59 100.0 0
1 75 100.0 0
1 74 100.0 0
1 76 100.0 0
1 67 100.0 0
1 78 100.0 0
1 25 100.0 0
1 44 100.0 0
1 72 100.0 0
1 80 100.0 0
1 84 100.0 0
1 83 100.0 0
1 79 100.0 0
1 81 100.0 0
1 85 100.0 0
1 89 100.0 0
1 90 100.0 0
1 86 100.0 0
1 88 100.0 0
1 92 100.0 0
1 98 100.0 0
1 99 100.0 0
1 100 100.0 0
1 101 100.0 0
1 102 100.0 0
1 91 100.0 0
1 96 100.0 0
1 97 100.0 0
1 105 100.0 0
1 82 100.0 0
1 106 100.0 0
1 108 100.0 0
1 110 100.0 0
1 109 100.0 0
1 111 100.0 0
1 103 100.0 0
1 104 100.0 0
1 95 100.0 0
1 115 100.0 0
1 112 100.0 0
1 114 100.0 0
1 118 100.0 0
1 116 100.0 0
1 120 100.0 0
1 77 100.0 0
1 122 100.0 0
1 123 100.0 0
1 124 100.0 0
1 117 100.0 0
1 113 100.0 0
1 125 100.0 0
1 126 100.0 0
1 130 100.0 0
1 131 100.0 0
1 119 100.0 0
1 134 100.0 0
1 129 100.0 0
1 137 100.0 0
1 139 100.0 0
1 121 100.0 0
1 133 100.0 0
1 144 100.0 93
1 140 100.0 0
1 145 100.0 128
1 147 100.0 0
1 138 100.0 0
1 147 100.0 0
1 148 100.0 0
1 127 100.0 0
1 136 100.0 0
1 141 100.0 0
1 150 100.0 0
1 152 100.0 0
1 153 100.0 0
1 53 100.0 0
1 132 100.0 0
1 142 100.0 0
1 156 100.0 0
1 155 100.0 0
1 143 100.0 0
1 154 100.0 0
1 157 100.0 0
1 159 100.0 0
1 135 100.0 0
1 158 100.0 0
1 165 100.0 0
1 24 100.0 0
1 169 100.0 0
1 94 100.0 0
1 160 100.0 0
1 163 100.0 0
1 167 100.0 0
1 168 100.0 128
1 170 100.0 0
1 173 100.0 0
9743 0 100.0 0
2 12 100.0 0
15 43 100.0 0
4 51 100.0 0
21 87 100.0 0
10 93 100.0 0
20 107 100.0 0
