"","qRange","qDmda"
"700",6.29214610961034,1.3792103091726
"701",6.35042516859596,1.37844347312383
"702",6.40924401935645,1.37768665429173
"703",6.46860766154633,1.37693969291162
"704",6.52852114112785,1.37620243217939
"705",6.58898955079995,1.3754747182015
"706",6.65001803043112,1.37475639994503
"707",6.71161176749628,1.37404732918776
"708",6.77377599751775,1.37334736046838
"709",6.83651600451024,1.3726563510368
"710",6.89983712143002,1.37197416080483
"711",6.96374473062822,1.37130065229695
"712",7.02824426430835,1.37063569060155
"713",7.093341204988,1.3699791433225
"714",7.15904108596489,1.36933088053114
"715",7.22534949178721,1.36869077471868
"716",7.29227205872831,1.36805870074914
"717",7.35981447526576,1.36743453581283
"718",7.42798248256492,1.3668181593803
"719",7.49678187496688,1.36620945315698
"720",7.56621850048105,1.36560830103831
"721",7.63629826128224,1.36501458906557
"722",7.7070271142123,1.36442820538235
"723",7.77841107128649,1.36384904019166
"724",7.85045620020451,1.36327698571371
"725",7.92316862486625,1.3627119361444
"726",7.99655452589235,1.3621537876145
"727",8.0706201411495,1.36160243814955
"728",8.14537176628074,1.36105778763044
"729",8.22081575524054,1.36051973775474
"730",8.29695852083491,1.35998819199875
"731",8.37380653526649,1.35946305558023
"732",8.45136633068471,1.35894423542194
"733",8.52964449974102,1.35843164011581
"734",8.60864769614924,1.35792517988788
"735",8.68838263525118,1.35742476656395
"736",8.76885609458743,1.35693031353593
"737",8.85007491447344,1.3564417357289
"738",8.93204599858097,1.35595894956891
"739",9.01477631452492,1.35548187295137
"740",9.09827289445556,1.35501042521026
"741",9.18254283565628,1.3545445270879
"742",9.26759330114688,1.35408410070545
"743",9.35343152029239,1.35362906953406
"744",9.4400647894176,1.35317935836665
"745",9.52750047242729,1.35273489329032
"746",9.6157460014321,1.35229560165946
"747",9.70480887738031,1.35186141206934
"748",9.7946966706954,1.35143225433044
"749",9.88541702191957,1.3510080594433
"750",9.9769776423632,1.35058875957396
"751",10.0693863147603,1.35017428802996
"752",10.16265089393,1.34976457923693
"753",10.2567793074442,1.34935956871574
"754",10.3517795563018,1.34895919306006
"755",10.447659715608,1.34856338991464
"756",10.5444279352617,1.34817209795391
"757",10.6420924406472,1.34778525686122
"758",10.7406615333343,1.34740280730846
"759",10.8401435917833,1.34702469093625
