"","qRange","qDsum"
"848",24.6258591635055,1.18281070884949
"849",24.853948574298,1.18273360277557
"850",25.0841505927754,1.18265726830469
"851",25.3164847863136,1.18258169710828
"852",25.5509709035251,1.18250688095929
"853",25.787628875938,1.18243281173069
"854",26.02647881969,1.18235948139406
"855",26.2675410372384,1.18228688201815
"856",26.5108360190854,1.18221500576755
"857",26.7563844455205,1.18214384490128
"858",27.0042071883777,1.18207339177148
"859",27.2543253128103,1.18200363882212
"860",27.5067600790806,1.18193457858764
"861",27.761532944368,1.18186620369176
"862",28.018665564592,1.18179850684617
"863",28.2781797962534,1.18173148084933
"864",28.5400976982924,1.18166511858528
"865",28.804441533963,1.18159941302241
"866",29.0712337727258,1.18153435721233
"867",29.3404970921579,1.18146994428868
"868",29.6122543798803,1.18140616746606
"869",29.8865287355038,1.18134302003887
"870",30.163343472592,1.18128049538024
"871",30.442722120643,1.18121858694094
"872",30.72468842709,1.18115728824833
"873",31.0092663593193,1.18109659290534
"874",31.2964801067075,1.18103649458941
"875",31.5863540826782,1.18097698705149
"876",31.8789129267765,1.18091806411508
"877",32.1741815067637,1.18085971967523
"878",32.4721849207313,1.18080194769757
"879",32.7729484992338,1.18074474221739
"880",33.0764978074424,1.1806880973387
"881",33.3828586473176,1.18063200723331
"882",33.6920570598027,1.18057646613995
"883",34.0041193270371,1.18052146836336
"884",34.3190719745904,1.18046700827341
"885",34.6369417737173,1.18041308030428
"886",34.9577557436328,1.18035967895359
"887",35.2815411538088,1.18030679878156
"888",35.6083255262928,1.18025443441023
"889",35.9381366380463,1.18020258052259
"890",36.2710025233065,1.18015123186184
"891",36.606951475969,1.18010038323059
"892",36.946012051993,1.18005002949009
"893",37.2882130718283,1.18000016555946
"894",37.6335836228653,1.17995078641498
"895",37.9821530619074,1.1799018870893
"896",38.333951017666,1.17985346267076
"897",38.6890073932798,1.17980550830268
"898",39.0473523688556,1.17975801918262
"899",39.4090164040345,1.1797109905617
"900",39.7740302405804,1.17966441774396
"901",40.1424249049932,1.17961829608562
"902",40.5142317111465,1.17957262099449
"903",40.8894822629486,1.17952738792926
"904",41.2682084570295,1.17948259239889
"905",41.6504424854518,1.17943822996198
"906",42.0362168384471,1.17939429622611
"907",42.4255643071778,1.17935078684729
"908",42.8185179865241,1.17930769752928
"909",43.2151112778976,1.17926502402307
"910",43.6153778920801,1.17922276212623
"911",44.0193518520887,1.17918090768238
"912",44.4270674960688,1.17913945658057
"913",44.8385594802119,1.17909840475477
"914",45.2538627817017,1.17905774818328
"915",45.6730127016875,1.1790174828882
"916",46.0960448682843,1.17897760493488
"917",46.5229952396019,1.17893811043141
"918",46.9539001068006,1.17889899552807
"919",47.3887960971765,1.17886025641685
"920",47.8277201772749,1.17882188933092
"921",48.2707096560318,1.1787838905441
"922",48.7178021879463,1.17874625637043
"923",49.1690357762803,1.17870898316366
"924",49.6244487762891,1.17867206731672
"925",50.0840798984821,1.17863550526132
"926",50.5479682119124,1.17859929346746
"927",51.0161531474983,1.17856342844293
"928",51.4886745013749,1.17852790673292
"929",51.9655724382766,1.17849272491952
